trial,run_sig,status,objective,train_s,eval_s,elapsed_s,error,hp.model.gru_dropout,hp.model.gru_hidden,hp.model.gru_layers,hp.training.lr,NSE_h16,RMSE_h16_from_pred,MAE_h16_from_pred
11,gru_small_grid_v1_t011_seed40_full_merged,ok,0.2188875408310781,1295.689,238.824,1534.516,,0.3,192,2,0.001,0.9999109088929096,0.21888754083107817,0.10323677533496525
3,gru_small_grid_v1_t003_seed40_full_merged,ok,0.2216163617859508,1970.072,235.512,2205.587,,0.2,192,2,0.0003,0.999908673689386,0.22161636178595082,0.1011860768834813
10,gru_small_grid_v1_t010_seed40_full_merged,ok,0.2239165263514372,1812.194,250.816,2063.012,,0.2,96,2,0.0001,0.9999067680928772,0.22391652635143727,0.1058205822546033
4,gru_small_grid_v1_t004_seed40_full_merged,ok,0.2280871869618116,2277.341,258.577,2535.921,,0.2,192,3,0.0003,0.9999032626804284,0.22808718696181166,0.10038405657635296
12,gru_small_grid_v1_t012_seed40_full_merged,ok,0.2342922749136698,1286.812,235.147,1521.962,,0.2,192,2,0.001,0.9998979276273022,0.23429227491366986,0.10724219076632692
6,gru_small_grid_v1_t006_seed40_full_merged,ok,0.2460797094768265,1844.533,227.675,2072.211,,0.1,128,2,0.0001,0.9998873985761019,0.24607970947682653,0.10871024754109757
8,gru_small_grid_v1_t008_seed40_full_merged,ok,0.2467344039296694,559.064,230.637,789.704,,0.1,96,3,0.001,0.9998867986274668,0.2467344039296694,0.1036490781231171
1,gru_small_grid_v1_t001_seed40_full_merged,ok,0.2513870982778711,1794.947,232.248,2027.221,,0.3,96,2,0.0001,0.9998824890758781,0.2513870982778711,0.10647368715383168
2,gru_small_grid_v1_t002_seed40_full_merged,ok,0.2521911479899351,1783.611,246.051,2029.664,,0.1,128,3,0.0001,0.9998817361674938,0.2521911479899351,0.11171304570639624
5,gru_small_grid_v1_t005_seed40_full_merged,ok,0.2583570009002858,575.467,232.546,808.015,,0.2,96,2,0.001,0.9998758825796824,0.2583570009002858,0.1089070427422879
9,gru_small_grid_v1_t009_seed40_full_merged,ok,0.2610403877080315,1804.257,226.627,2030.887,,0.3,128,1,0.0001,0.9998732909358667,0.2610403877080315,0.12265965227946618
7,gru_small_grid_v1_t007_seed40_full_merged,ok,0.2628401879270396,1361.004,275.785,1636.792,,0.2,192,3,0.001,0.9998715376655992,0.26284018792703967,0.12511607883697645
